2020-12-07T22:30:35.871Z /time - GET RESPONSE - 200
2020-12-07T22:30:35.875Z /users - GET RESPONSE - 200
2020-12-07T22:30:36.729Z /time - GET RESPONSE - 200
2020-12-07T22:30:36.734Z /users - GET RESPONSE - 200
2020-12-07T22:30:36.872Z /time - GET RESPONSE - 200
2020-12-07T22:30:36.881Z /users - GET RESPONSE - 200
2020-12-07T22:30:37.745Z /time - GET RESPONSE - 200
2020-12-07T22:30:37.748Z /users - GET RESPONSE - 200
2020-12-07T22:30:37.880Z /time - GET RESPONSE - 200
2020-12-07T22:30:37.891Z /users - GET RESPONSE - 200
2020-12-07T22:30:38.728Z /time - GET RESPONSE - 200
2020-12-07T22:30:38.728Z /users - GET RESPONSE - 200
2020-12-07T22:30:38.868Z /time - GET RESPONSE - 200
2020-12-07T22:30:38.870Z /users - GET RESPONSE - 200
2020-12-07T22:30:39.873Z /time - GET RESPONSE - 200
2020-12-07T22:30:39.874Z /users - GET RESPONSE - 200
2020-12-07T22:30:39.878Z /time - GET RESPONSE - 200
2020-12-07T22:30:39.879Z /users - GET RESPONSE - 200
2020-12-07T22:30:40.844Z HTTP POST http://localhost:3003/service
2020-12-07T22:30:40.849Z - POST RESPONSE - 200
2020-12-07T22:30:40.852Z /status - GET RESPONSE - 200
2020-12-07T22:30:40.875Z /time - GET RESPONSE - 200
2020-12-07T22:30:40.881Z /users - GET RESPONSE - 200
2020-12-07T22:30:40.882Z /time - GET RESPONSE - 200
2020-12-07T22:30:40.887Z /users - GET RESPONSE - 200
2020-12-07T22:30:41.876Z /time - GET RESPONSE - 200
2020-12-07T22:30:41.877Z /users - GET RESPONSE - 200
2020-12-07T22:30:41.878Z /time - GET RESPONSE - 200
2020-12-07T22:30:41.879Z /users - GET RESPONSE - 200
2020-12-07T22:30:42.877Z /time - GET RESPONSE - 200
2020-12-07T22:30:42.895Z /users - GET RESPONSE - 200
2020-12-07T22:30:42.897Z /time - GET RESPONSE - 200
2020-12-07T22:30:42.899Z /users - GET RESPONSE - 200
2020-12-07T22:30:43.871Z /time - GET RESPONSE - 200
2020-12-07T22:30:43.879Z /users - GET RESPONSE - 200
2020-12-07T22:30:43.887Z /time - GET RESPONSE - 200
2020-12-07T22:30:43.887Z /users - GET RESPONSE - 200
2020-12-07T22:30:44.729Z /time - GET RESPONSE - 200
2020-12-07T22:30:44.737Z /users - GET RESPONSE - 200
2020-12-07T22:30:44.900Z /time - GET RESPONSE - 200
2020-12-07T22:30:44.901Z /users - GET RESPONSE - 200
2020-12-07T22:30:44.909Z /users - GET RESPONSE - 200
2020-12-07T22:30:44.918Z /users - GET RESPONSE - 200
2020-12-07T22:30:45.729Z /time - GET RESPONSE - 200
2020-12-07T22:30:45.730Z /users - GET RESPONSE - 200
